TIPO ;DATA;ATOS NORMATIVOS;DESCRIÇÂO;LEIS;LINK
Acordos em Desapropriação;25/04/1969;DECRETO-LEI Nº 554, DE 25 DE ABRIL DE 1969. (REVOGADO);Dispõe sobre desapropriação por interesse social, de imóveis rurais, para fins de reforma agrária, e dá outras providências. Art. 3º, I ;DECRETO-LEI Nº 554, ;https://goo.gl/PRJ1WU
Acordos em Desapropriação;06/07/1993;LEI COMPLEMENTAR Nº 76, DE 6 DE JULHO DE 1993.;Dispõe sobre o procedimento contraditório especial, de rito sumário, para o processo de desapropriação de imóvel rural, por interesse social, para fins de reforma agrária. Art. 6º, §§º a 6º e art. 10;LEI COMPLEMENTAR Nº 76,;https://goo.gl/1p6cTf
Acordos em Desapropriação;25/02/1993;LEI Nº 8.629, DE 25 DE FEVEREIRO DE 1993.;Dispõe sobre a regulamentação dos dispositivos constitucionais relativos à reforma agrária, previstos no Capítulo III, Título VII, da Constituição Federal. Art. 5, § 4º;LEI Nº 8.629;https://bit.ly/2zrQ0bg
Acordos em Desapropriação;10/07/1997;LEI Nº 9469, DE 10 DE JULHO DE 1997.;"Regulamenta o disposto no inciso VI do art. 4º da Lei Complementar nº 73, de 10 de fevereiro de 1993; entre outras providências";LEI Nº 9469;https://goo.gl/KRucsm
Acordos em Desapropriação;26/06/2015;LEI Nº 13.140, DE 26 DE JUNHO DE 2015.;"Dispõe sobre a mediação entre particulares como meio de solução de controvérsias e sobre a autocomposição de conflitos no âmbito da administração pública; altera a Lei n° 9.469, de 10 de julho de 1997, e o Decreto no 70.235, de 6 de março de 1972; e revoga o § 2°, do art. 6°, da Lei n° 9.469, de 10 de julho de 1997. ";LEI Nº 13.140;https://goo.gl/AmdMSo
Acordos em Desapropriação;27/10/1966;DECRETO N° 59.428, DE 27 DE OUTUBRO DE 1966.;Regulamenta os Capítulos I e II do Título II, o Capítulo II do Título III, e os Art. 81,82,83,91,109, 111, 114,115 e 126 da Lei nº 4.504, de 30 de novembro de 1964, o art. 22 do Decreto-lei nº 22.239, de 19 de dezembro de 1932, e os Art. 9,10, 11, 12,22,23 da Lei nº 4.947, de 6 de abril de 1966.;DECRETO N° 59.428;https://goo.gl/ZJAemj
Acordos em Desapropriação;23/05/2006;INSTRUÇÃO NORMATIVA Nº 34, DE 23 DE MAIO DE 2006.;Estabelece critérios e procedimentos para a realização de acordo judicial e extrajudicial nas ações de obtenção de terras, para fins de reforma agrária.;INSTRUÇÃO NORMATIVA Nº 34;https://bit.ly/2T3S711
Acordos em Desapropriação;30/07/2015;INSTRUÇÃO NORMATIVA Nº 83, DE 30 DE JULHO DE 2015;Estabelece as diretrizes básicas para as ações de obtenção de imóveis rurais para fins de assentamento de trabalhadores rurais e dá outras providências. Art. 22 a 30, 49 e 50;INSTRUÇÃO NORMATIVA Nº 83;http://www.incra.gov.br/sites/default/files/uploads/institucionall/legislacao--/atos-internos/instrucoes/in_83.pdf
Acordos em Desapropriação;29/03/2012;RESOLUÇÃO N° 1/INCRA/CD, DE 29 DE MARÇO DE 2012.;Autoriza o Superintendente Regional, assistido pelo Chefe da Procuradoria Regional do INCRA nas Superintendências Regionais, atendendo as hipóteses de superior conveniência e oportunidade administrativas, a celebrar acordos ou transações judiciais nas ações de desapropriação por interesse social para fins de reforma, a fim de fixar o valor da justa indenização devida pela transferência de domínio dos imóveis desapropriados, que prevejam simultaneamente.;RESOLUÇÃO N° 1/INCRA;https://bit.ly/2Ssxc2j
Acordos em Desapropriação;13/07/2007;"PORTARIA PGF Nº 530,
E 13 DE JULHO DE 2007.";Regulamenta a representação judicial das autarquias e fundações públicas federais pelos órgãos de execução da Procuradoria-Geral Federal.;PORTARIA PGF Nº 530;https://bit.ly/2EfapSI
